MATERIALIZAÇÃO — 60 registros de /root/sti-graph-validation/resultados/bloco1-mathtutor-2026-08-16/6.18/fixa-estudantes-qwen/runs
  modelo do papel materializacao: openai/gpt-5.6-luna | estimativa ~US$ 1.20 (planner + worker por registro)
[1/60] 01_1_rep1.json: passos 7→7 | dicas 28 | erros 11 | valores ["1/4","1/4","8","2/8","2","=","ok"] | problema fixo: APROVADO
[2/60] 01_1_rep2.json: passos 7→7 | dicas 28 | erros 10 | valores ["1/4","1/4","8","2/8","2","=","ok"] | problema fixo: APROVADO
[3/60] 01_1_rep3.json: passos 7→7 | dicas 28 | erros 8 | valores ["1/4","1/4","8","2/8","2","=","ok"] | problema fixo: APROVADO
[4/60] 02_2_rep1.json: passos 9→9 | dicas 36 | erros 19 | valores ["1/3","1/3","12","12","4/12","same_position","4","=","4/12"] | problema fixo: APROVADO
[5/60] 02_2_rep2.json: passos 7→7 | dicas 28 | erros 8 | valores ["1/3","12","4/12","=","4","=","ok"] | problema fixo: APROVADO
[6/60] 02_2_rep3.json: passos 9→9 | dicas 36 | erros 14 | valores ["1/3","1/3","12","12","4/12","same","4","=","4/12"] | problema fixo: APROVADO
[7/60] 03_1_rep1.json: passos 9→9 | dicas 36 | erros 12 | valores ["1/3","2/3","3","3","1/3","different","≠","1","1/3"] | problema fixo: APROVADO
[8/60] 03_1_rep2.json: passos 8→8 | dicas 32 | erros 9 | valores ["4/6","4/6","3","1/3","≠","≠","1","ok"] | problema fixo: APROVADO
[9/60] 03_1_rep3.json: passos 8→8 | dicas 32 | erros 15 | valores ["4/6","4/6","3","1/3","different positions","≠","1","1/3"] | problema fixo: APROVADO
[10/60] 04_2_rep1.json: passos 8→8 | dicas 32 | erros 13 | valores ["1/2","1/2","6","3/6","3/6","3","=","ok"] | problema fixo: APROVADO
[11/60] 04_2_rep2.json: passos 7→7 | dicas 28 | erros 14 | valores ["1/2","1/2","6","3/6","3","=","ok"] | problema fixo: APROVADO
[12/60] 04_2_rep3.json: passos 7→7 | dicas 28 | erros 12 | valores ["1/2","1/2","6","3/6","3","=","ok"] | problema fixo: APROVADO
[13/60] 05_1_rep1.json: passos 8→8 | dicas 32 | erros 13 | valores ["8/8","8/8","5/5","5","5/5","5","=","ok"] | problema fixo: APROVADO
[14/60] 05_1_rep2.json: passos 8→8 | dicas 32 | erros 10 | valores ["8/8","1","5/5","5","1","5","=","5/5"] | problema fixo: APROVADO
[15/60] 05_1_rep3.json: passos 8→8 | dicas 32 | erros 13 | valores ["8/8","1/1","5/5","5","1","5","=","ok"] | problema fixo: APROVADO
