MATERIALIZAÇÃO — 60 registros de /root/sti-graph-validation/resultados/bloco1-mathtutor-2026-08-16/6.18/fixa-custo-beneficio/runs
  modelo do papel materializacao: openai/gpt-5.6-luna | estimativa ~US$ 1.20 (planner + worker por registro)
[1/60] 01_1_rep1.json: passos 5→5 | dicas 20 | erros 6 | valores ["1/4","8","2/8","2","="] | problema fixo: APROVADO
[2/60] 01_1_rep2.json: passos 5→5 | dicas 20 | erros 6 | valores ["8","2/8","2","=","Done"] | problema fixo: APROVADO
[3/60] 01_1_rep3.json: passos 6→6 | dicas 24 | erros 4 | valores ["1/4","8","2/8","2","=","ok"] | problema fixo: APROVADO
[4/60] 02_2_rep1.json: passos 6→6 | dicas 24 | erros 7 | valores ["12","12","4/12","4","=","ok"] | problema fixo: APROVADO
[5/60] 02_2_rep2.json: passos 6→6 | dicas 24 | erros 6 | valores ["3","12","4/12","4","=","ok"] | problema fixo: APROVADO
[6/60] 02_2_rep3.json: passos 5→5 | dicas 20 | erros 7 | valores ["4","12","4/12","4","="] | problema fixo: APROVADO
[7/60] 03_1_rep1.json: passos 6→6 | dicas 24 | erros 5 | valores ["4/6","3","1/3","1","=","ok"] | problema fixo: APROVADO
[8/60] 03_1_rep2.json: passos 6→6 | dicas 24 | erros 4 | valores ["4/6","3","1/3","1","≠","ok"] | problema fixo: APROVADO
[9/60] 03_1_rep3.json: passos 5→5 | dicas 20 | erros 4 | valores ["4/6","3","1/3","≠","1"] | problema fixo: APROVADO
[10/60] 04_2_rep1.json: passos 5→5 | dicas 20 | erros 6 | valores ["6","3/6","3","=","ok"] | problema fixo: APROVADO
[11/60] 04_2_rep2.json: passos 5→5 | dicas 20 | erros 4 | valores ["6","3/6","3","=","ok"] | problema fixo: APROVADO
[12/60] 04_2_rep3.json: passos 5→5 | dicas 20 | erros 7 | valores ["6","3/6","3","=","ok"] | problema fixo: APROVADO
[13/60] 05_1_rep1.json: passos 6→6 | dicas 24 | erros 3 | valores ["1","5","5/5","5","=","ok"] | problema fixo: APROVADO
[14/60] 05_1_rep2.json: passos 5→5 | dicas 20 | erros 4 | valores ["8/8","5","5/5","5","="] | problema fixo: APROVADO
[15/60] 05_1_rep3.json: passos 6→6 | dicas 24 | erros 5 | valores ["1","5","1","5","=","ok"] | problema fixo: REPROVADO []
[16/60] 06_1_rep1.json: passos 6→6 | dicas 24 | erros 8 | valores ["4","2/4","1/2","2","=","ok"] | problema fixo: APROVADO
[17/60] 06_1_rep2.json: passos 5→5 | dicas 20 | erros 3 | valores ["4","2/4","2","=","ok"] | problema fixo: APROVADO
[18/60] 06_1_rep3.json: passos 5→5 | dicas 20 | erros 6 | valores ["4","2/4","2","=","Done"] | problema fixo: APROVADO
[19/60] 07_2_rep1.json: passos 5→5 | dicas 20 | erros 4 | valores ["4/12","9","4/9","≠","4"] | problema fixo: APROVADO
[20/60] 07_2_rep2.json: passos 6→6 | dicas 24 | erros 8 | valores ["4/12","9","4/9","4","≠","ok"] | problema fixo: APROVADO
[21/60] 07_2_rep3.json: passos 5→5 | dicas 20 | erros 4 | valores ["4/12","9","4/9","4","≠"] | problema fixo: APROVADO
[22/60] 08_2_rep1.json: passos 5→5 | dicas 20 | erros 5 | valores ["6/10","5","4/5","≠","4"] | problema fixo: APROVADO
[23/60] 08_2_rep2.json: passos 6→6 | dicas 24 | erros 5 | valores ["6/10","5","4/5","4","=","ok"] | problema fixo: APROVADO
[24/60] 08_2_rep3.json: passos 6→6 | dicas 24 | erros 4 | valores ["5","5","4/5","4","=","4/5"] | problema fixo: APROVADO
[25/60] 09_1_rep1.json: passos 5→5 | dicas 20 | erros 7 | valores ["4/12","12","4/12","4","="] | problema fixo: APROVADO
[26/60] 09_1_rep2.json: passos 5→5 | dicas 20 | erros 4 | valores ["less than 1","12","4/12","4","="] | problema fixo: APROVADO
[27/60] 09_1_rep3.json: passos 6→6 | dicas 24 | erros 5 | valores ["6/18","12","4/12","4","=","ok"] | problema fixo: APROVADO
[28/60] 10_2_rep1.json: passos 6→6 | dicas 24 | erros 2 | valores ["3/9","6","2/6","2","=","ok"] | problema fixo: APROVADO
[29/60] 10_2_rep2.json: passos 6→6 | dicas 24 | erros 4 | valores ["2/6","6","2/6","2","=","ok"] | problema fixo: APROVADO
[30/60] 10_2_rep3.json: passos 6→6 | dicas 24 | erros 3 | valores ["2/6","6","2/6","2","=","ok"] | problema fixo: APROVADO
[31/60] 11_1_rep1.json: passos 5→5 | dicas 20 | erros 3 | valores ["2","7","14/7","14","="] | problema fixo: APROVADO
[32/60] 11_1_rep2.json: passos 5→5 | dicas 20 | erros 4 | valores ["2","7","2","14","="] | problema fixo: REPROVADO []
[33/60] 11_1_rep3.json: passos 5→5 | dicas 20 | erros 6 | valores ["20/10","7","14/7","14/7","14"] | problema fixo: APROVADO
[34/60] 12_1_rep1.json: passos 6→6 | dicas 24 | erros 5 | valores ["6","9/6","9","9","=","ok"] | problema fixo: APROVADO
[35/60] 12_1_rep2.json: passos 5→5 | dicas 20 | erros 8 | valores ["6","3/2","9/6","9","ok"] | problema fixo: APROVADO
[36/60] 12_1_rep3.json: passos 5→5 | dicas 20 | erros 8 | valores ["6","9/6","9","9","="] | problema fixo: APROVADO
[37/60] 13_2_rep1.json: passos 6→6 | dicas 24 | erros 4 | valores ["4","16","12/16","3","=","12/16"] | problema fixo: APROVADO
[38/60] 13_2_rep2.json: passos 6→6 | dicas 24 | erros 4 | valores ["12/16","16","12/16","12","=","ok"] | problema fixo: APROVADO
[39/60] 13_2_rep3.json: passos 6→6 | dicas 24 | erros 9 | valores ["16","16","12/16","3","=","12/16"] | problema fixo: APROVADO
[40/60] 14_2_rep1.json: passos 6→6 | dicas 24 | erros 5 | valores ["14/8","4","7/4","14","=","ok"] | problema fixo: REPROVADO ["14/8→14","14→14"]
[41/60] 14_2_rep2.json: passos 5→5 | dicas 20 | erros 4 | valores ["13/8","4","1.75","7","≠"] | problema fixo: REPROVADO ["1.75→1.75"]
[42/60] 14_2_rep3.json: passos 6→6 | dicas 24 | erros 3 | valores ["13/8","4","7/4","14","≠","ok"] | problema fixo: REPROVADO ["14→14"]
[43/60] 15_1_rep1.json: passos 6→6 | dicas 24 | erros 8 | valores ["4/3","3","4/3","4","=","ok"] | problema fixo: APROVADO
[44/60] 15_1_rep2.json: passos 6→6 | dicas 24 | erros 8 | valores ["3","3","4/3","4","=","ok"] | problema fixo: APROVADO
[45/60] 15_1_rep3.json: passos 6→6 | dicas 24 | erros 4 | valores ["3","3","4/3","4","=","Done"] | problema fixo: APROVADO
[46/60] 16_1_rep1.json: passos 6→6 | dicas 24 | erros 6 | valores ["8/6","9","12/9","12","=","done"] | problema fixo: APROVADO
[47/60] 16_1_rep2.json: passos 5→5 | dicas 20 | erros 8 | valores ["8/6","9","12/9","12","="] | problema fixo: APROVADO
[48/60] 16_1_rep3.json: passos 5→5 | dicas 20 | erros 6 | valores ["8/6","9","12/9","12/9","12"] | problema fixo: APROVADO
[49/60] 17_2_rep1.json: passos 6→6 | dicas 24 | erros 7 | valores ["12/8","2","2","3/2","3","ok"] | problema fixo: APROVADO
[50/60] 17_2_rep2.json: passos 5→5 | dicas 20 | erros 4 | valores ["12/8","2","3/2","3","="] | problema fixo: APROVADO
[51/60] 17_2_rep3.json: passos 6→6 | dicas 24 | erros 6 | valores ["12/8","2","2","3/2","3,=","3/2"] | problema fixo: APROVADO
[52/60] 18_2_rep1.json: passos 5→5 | dicas 20 | erros 3 | valores ["≟","12","21/12","21","ok"] | problema fixo: APROVADO
[53/60] 18_2_rep2.json: passos 6→6 | dicas 24 | erros 4 | valores ["7/4","12","21/12","21","=","ok"] | problema fixo: APROVADO
[54/60] 18_2_rep3.json: passos 6→6 | dicas 24 | erros 2 | valores ["21/12","12","21/12","21","=","ok"] | problema fixo: APROVADO
[55/60] 19_1_rep1.json: passos 5→5 | dicas 20 | erros 6 | valores ["4","4","6/4","6","="] | problema fixo: APROVADO
[56/60] 19_1_rep2.json: passos 6→6 | dicas 24 | erros 5 | valores ["4","4","1.5","6","=","done"] | problema fixo: REPROVADO ["1.5→1.5"]
[57/60] 19_1_rep3.json: passos 5→5 | dicas 20 | erros 4 | valores ["greater_than_1","4","1.5","6","="] | problema fixo: REPROVADO ["1.5→1.5"]
