MATERIALIZAÇÃO — 60 registros de /root/sti-graph-validation/resultados/bloco1-mathtutor-2026-08-16/6.18/fixa-estudantes-qwen/runs
  modelo do papel materializacao: openai/gpt-5.6-luna | estimativa ~US$ 1.20 (planner + worker por registro)
[1/60] 01_1_rep1.json: passos 7→7 | dicas 28 | erros 11 | valores ["1/4","1/4","8","2/8","2","=","ok"] | problema fixo: APROVADO
[2/60] 01_1_rep2.json: passos 7→7 | dicas 28 | erros 12 | valores ["1/4","1/4","8","2/8","2","=","ok"] | problema fixo: APROVADO
[3/60] 01_1_rep3.json: passos 7→7 | dicas 28 | erros 7 | valores ["1/4","1/4","8","2/8","2","=","ok"] | problema fixo: APROVADO
[4/60] 02_2_rep1.json: passos 9→9 | dicas 36 | erros 18 | valores ["1/3","1/3","12","12","4/12","=","4","=","done"] | problema fixo: APROVADO
[5/60] 02_2_rep2.json: passos 7→7 | dicas 28 | erros 10 | valores ["1/3","12","4/12","same position","4","=","ok"] | problema fixo: APROVADO
[6/60] 02_2_rep3.json: passos 9→9 | dicas 36 | erros 12 | valores ["1/3","1/3","12","12","4/12","same position","4","=","Done"] | problema fixo: APROVADO
[7/60] 03_1_rep1.json: passos 9→9 | dicas 36 | erros 9 | valores ["4/6","4/6","3","3","1/3","different","≠","2","ok"] | problema fixo: APROVADO
[8/60] 03_1_rep2.json: passos 8→8 | dicas 32 | erros 10 | valores ["4/6","4/6","3","1/3","different","≠","1","ok"] | problema fixo: APROVADO
[9/60] 03_1_rep3.json: passos 8→8 | dicas 32 | erros 9 | valores ["4/6","4/6","3","1/3","not_same","≠","1","ok"] | problema fixo: APROVADO
[10/60] 04_2_rep1.json: passos 8→8 | dicas 32 | erros 15 | valores ["1/2","1/2","6","3/6","3/6","3","=","ok"] | problema fixo: APROVADO
[11/60] 04_2_rep2.json: passos 7→7 | dicas 28 | erros 14 | valores ["1/2","1/2","6","3/6","3","=","ok"] | problema fixo: APROVADO
[12/60] 04_2_rep3.json: passos 7→7 | dicas 28 | erros 10 | valores ["1/2","1/2","6","3/6","3","=","ok"] | problema fixo: APROVADO
[13/60] 05_1_rep1.json: passos 8→8 | dicas 32 | erros 16 | valores ["8/8","1","5/5","5","1","5","=","5/5"] | problema fixo: APROVADO
[14/60] 05_1_rep2.json: passos 8→8 | dicas 32 | erros 10 | valores ["8/8","1","5","5","5/5","5","=","ok"] | problema fixo: APROVADO
[15/60] 05_1_rep3.json: passos 8→8 | dicas 32 | erros 13 | valores ["8/8","1","5/5","5","5/5","5","=","ok"] | problema fixo: APROVADO
[16/60] 06_1_rep1.json: passos 8→8 | dicas 32 | erros 12 | valores ["5/10","5/10","4","2/4","2/4","2","=","ok"] | problema fixo: APROVADO
[17/60] 06_1_rep2.json: passos 7→7 | dicas 28 | erros 5 | valores ["5/10","5/10","4","2/4","2","=","Done"] | problema fixo: APROVADO
[18/60] 06_1_rep3.json: passos 7→7 | dicas 28 | erros 12 | valores ["5/10","5/10","4","2/4","2","=","ok"] | problema fixo: APROVADO
[19/60] 07_2_rep1.json: passos 8→8 | dicas 32 | erros 6 | valores ["4/12","4/12","9","4/9","≠","≠","4","4/9"] | problema fixo: APROVADO
[20/60] 07_2_rep2.json: passos 8→8 | dicas 32 | erros 12 | valores ["4/12","4/12","9","4/9","4/12","≠","4","ok"] | problema fixo: APROVADO
[21/60] 07_2_rep3.json: passos 9→9 | dicas 36 | erros 17 | valores ["4/12","4/12","9","9","4/9","different","≠","4","4/9"] | problema fixo: APROVADO
[22/60] 08_2_rep1.json: passos 9→9 | dicas 36 | erros 15 | valores ["6/10","6/10","numline2_noLabel","5","4/5","different_positions","≠","4","4/5"] | problema fixo: APROVADO
[23/60] 08_2_rep2.json: passos 9→9 | dicas 36 | erros 19 | valores ["6/10","0.6","5","5","4/5","≠","≠","4","ok"] | problema fixo: REPROVADO ["0.6→0.6"]
[24/60] 08_2_rep3.json: passos 8→8 | dicas 32 | erros 0 | valores ["6/10","6/10","5","4/5","same","=","3","4/5"] | problema fixo: REPROVADO ["3→3"]
[25/60] 09_1_rep1.json: passos 7→7 | dicas 28 | erros 10 | valores ["6/18","1/3","12","4/12","4","=","ok"] | problema fixo: REPROVADO ["1/3→3"]
[26/60] 09_1_rep2.json: passos 7→7 | dicas 28 | erros 8 | valores ["6/18","1/3","12","4/12","4","=","ok"] | problema fixo: REPROVADO ["1/3→3"]
[27/60] 09_1_rep3.json: passos 7→7 | dicas 28 | erros 0 | valores ["6/18","1/3","12","4/12","4","=","done"] | problema fixo: REPROVADO ["1/3→3"]
[28/60] 10_2_rep1.json: passos 8→8 | dicas 32 | erros 17 | valores ["3/9","1/3","6","2/6","same_point","=","2","ok"] | problema fixo: APROVADO
[29/60] 10_2_rep2.json: passos 8→8 | dicas 32 | erros 11 | valores ["3/9","2/6","6","2/6","same position","=","2","ok"] | problema fixo: APROVADO
[30/60] 10_2_rep3.json: passos 8→8 | dicas 32 | erros 0 | valores ["3/9","same position","6","2/6","same position","2","=","2/6"] | problema fixo: APROVADO
[31/60] 11_1_rep1.json: passos 8→8 | dicas 32 | erros 13 | valores ["20/10","2","7","7","14/7","14","=","ok"] | problema fixo: APROVADO
[32/60] 11_1_rep2.json: passos 8→8 | dicas 32 | erros 18 | valores ["20/10","2","14/7","7","2","14","=","ok"] | problema fixo: APROVADO
[33/60] 11_1_rep3.json: passos 8→8 | dicas 32 | erros 13 | valores ["20/10","2","14/7","7","14/7","14","=","ok"] | problema fixo: APROVADO
[34/60] 12_1_rep1.json: passos 7→7 | dicas 28 | erros 11 | valores ["3/2","3/2","6","9/6","9","=","ok"] | problema fixo: APROVADO
[35/60] 12_1_rep2.json: passos 7→7 | dicas 28 | erros 10 | valores ["3/2","3/2","6","9/6","9","=","ok"] | problema fixo: APROVADO
[36/60] 12_1_rep3.json: passos 8→8 | dicas 32 | erros 8 | valores ["3/2","3/2","6","6","9/6","9","=","ok"] | problema fixo: APROVADO
[37/60] 13_2_rep1.json: passos 9→9 | dicas 36 | erros 18 | valores ["3/4","3/4","16","16","12/16","same position","12","=","12/16"] | problema fixo: APROVADO
[38/60] 13_2_rep2.json: passos 7→7 | dicas 28 | erros 15 | valores ["3/4","16","12/16","same_position","12","=","ok"] | problema fixo: APROVADO
[39/60] 13_2_rep3.json: passos 7→7 | dicas 28 | erros 10 | valores ["3/4","16","12/16","=","12","=","ok"] | problema fixo: APROVADO
[40/60] 14_2_rep1.json: passos 6→6 | dicas 24 | erros 9 | valores ["13/8","13/8","4","7/4","≠","7"] | problema fixo: APROVADO
[41/60] 14_2_rep2.json: passos 9→9 | dicas 36 | erros 9 | valores ["13/8","13/8","Line 2 without labels","4","7/4","different positions","≠","7","ok"] | problema fixo: APROVADO
[42/60] 14_2_rep3.json: passos 10→10 | dicas 40 | erros 12 | valores ["13/8,7/4","greater than 1","7/4","4","4","7/4","different positions","≠","7","7/4"] | problema fixo: REPROVADO ["13/8,7/4→8.7"]
[43/60] 15_1_rep1.json: passos 8→8 | dicas 32 | erros 13 | valores ["8/6","1 1/3","4/3","3","4/3","4","=","ok"] | problema fixo: REPROVADO ["11/3→11"]
[44/60] 15_1_rep2.json: passos 7→7 | dicas 28 | erros 12 | valores ["8/6","4/3","3","4/3","4","=","4/3"] | problema fixo: APROVADO
[45/60] 15_1_rep3.json: passos 7→7 | dicas 28 | erros 0 | valores ["8/6","4/3","3","4/3","4","=","ok"] | problema fixo: APROVADO
[46/60] 16_1_rep1.json: passos 8→8 | dicas 32 | erros 17 | valores ["8/6","4/3","9","8/6","12/9","12","=","12/9"] | problema fixo: REPROVADO ["4/3→4","4/3→3"]
[47/60] 16_1_rep2.json: passos 8→8 | dicas 32 | erros 16 | valores ["8/6","4/3","3","9","12/9","12","=","ok"] | problema fixo: REPROVADO ["4/3→4","4/3→3","3→3"]
[48/60] 16_1_rep3.json: passos 9→9 | dicas 36 | erros 16 | valores ["8/6","4/3","3","12","9","12/9","12","=","ok"] | problema fixo: REPROVADO ["4/3→4","4/3→3","3→3"]
[49/60] 17_2_rep1.json: passos 9→9 | dicas 36 | erros 14 | valores ["12/8","3/2","3/2","2","3/2","same","3","=","3/2"] | problema fixo: APROVADO
[50/60] 17_2_rep2.json: passos 8→8 | dicas 32 | erros 9 | valores ["12/8","3/2","2","1.5","1.5","3","=","ok"] | problema fixo: REPROVADO ["1.5→1.5","1.5→1.5"]
[51/60] 17_2_rep3.json: passos 10→10 | dicas 40 | erros 13 | valores ["12/8","3/2","2","2","1.5","3/2","same position","3","=","3/2"] | problema fixo: REPROVADO ["1.5→1.5"]
[52/60] 18_2_rep1.json: passos 11→11 | dicas 44 | erros 21 | valores ["7/4","greater than 1","7/4","12","12","21/12","21/12","same position","=","21","ok"] | problema fixo: APROVADO
[53/60] 18_2_rep2.json: passos 10→10 | dicas 40 | erros 18 | valores ["7/4","7/4","7/4","12","12","21/12","aligned","=","21","ok"] | problema fixo: APROVADO
[54/60] 18_2_rep3.json: passos 11→11 | dicas 44 | erros 23 | valores ["7/4,21/12","1.75","21/12","12","12","1.75","1.75","same position","21","=","7/4=21/12"] | problema fixo: REPROVADO ["7/4,21/12→4.21","1.75→1.75","1.75→1.75"]
[55/60] 19_1_rep1.json: passos 8→8 | dicas 32 | erros 10 | valores ["9/6","3/2","6/4","4","6/4","6","=","ok"] | problema fixo: REPROVADO ["3/2→3"]
[56/60] 19_1_rep2.json: passos 7→7 | dicas 28 | erros 9 | valores ["9/6","1.5","4","1.5","6","=","ok"] | problema fixo: REPROVADO ["1.5→1.5","1.5→1.5"]
[57/60] 19_1_rep3.json: passos 7→7 | dicas 28 | erros 14 | valores ["6","1.5","4","1.5","6","=","ok"] | problema fixo: REPROVADO ["1.5→1.5","1.5→1.5"]
[58/60] 20_2_rep1.json: passos 9→9 | dicas 36 | erros 17 | valores ["12/9","4/3","2","6","10/6","different","≠","10","10/6"] | problema fixo: REPROVADO ["4/3→4","4/3→3"]
[59/60] 20_2_rep2.json: passos 10→10 | dicas 40 | erros 16 | valores ["12/9","4/3","Line 2","6","5/3","5/3","different positions","≠","10","ok"] | problema fixo: REPROVADO ["4/3→4","4/3→3","5/3→5"]
[60/60] 20_2_rep3.json: passos 10→10 | dicas 40 | erros 16 | valores ["12/9","4/3","6","6","10/6","10/6","≠","≠","10","10/6"] | problema fixo: REPROVADO ["4/3→4","4/3→3"]
