MATERIALIZAÇÃO — 69 registros de /root/sti-graph-validation/resultados/bloco1-mathtutor-2026-08-16/6.19/fixa-custo-beneficio/runs
  modelo do papel materializacao: openai/gpt-5.6-luna | estimativa ~US$ 1.38 (planner + worker por registro)
[1/69] 00bubble_rep1.json: passos 5→5 | dicas 20 | erros 6 | valores ["5","7","5/7","5/7","0"] | problema fixo: REPROVADO ["0→0"]
[2/69] 00bubble_rep2.json: passos 5→5 | dicas 20 | erros 5 | valores ["5","7","convert","5/7","0"] | problema fixo: REPROVADO ["0→0"]
[3/69] 00bubble_rep3.json: passos 5→5 | dicas 20 | erros 4 | valores ["5","7","5/7","5/7","0"] | problema fixo: REPROVADO ["0→0"]
[4/69] 01tv_rep1.json: passos 5→5 | dicas 20 | erros 3 | valores ["1","4","0","1/4","ok"] | problema fixo: REPROVADO ["0→0"]
[5/69] 01tv_rep2.json: passos 5→5 | dicas 20 | erros 3 | valores ["1","4","convert","0.25","0"] | problema fixo: REPROVADO ["0.25→0.25","0→0"]
[6/69] 01tv_rep3.json: passos 5→5 | dicas 20 | erros 1 | valores ["1","4","0.25","1/4","converted"] | problema fixo: REPROVADO ["0.25→0.25"]
[7/69] 02tv_rep1.json: passos 5→5 | dicas 20 | erros 4 | valores ["3","4","3/4","3/4","0"] | problema fixo: REPROVADO ["0→0"]
[8/69] 02tv_rep2.json: passos 5→5 | dicas 20 | erros 3 | valores ["3","4","-","3/4","0"] | problema fixo: REPROVADO ["0→0"]
[9/69] 02tv_rep3.json: passos 5→5 | dicas 20 | erros 5 | valores ["3","4","3/4","3/4","0"] | problema fixo: REPROVADO ["0→0"]
[10/69] 03football_rep1.json: passos 5→5 | dicas 20 | erros 5 | valores ["3","6","0","3/6","3"] | problema fixo: REPROVADO ["0→0"]
[11/69] 03football_rep2.json: passos 5→5 | dicas 20 | erros 5 | valores ["3","6","3/6","0.5","0"] | problema fixo: REPROVADO ["0.5→0.5","0→0"]
[12/69] 03football_rep3.json: passos 5→5 | dicas 20 | erros 5 | valores ["3","6","3/6","3/6","ok"] | problema fixo: APROVADO
[13/69] 04president_rep1.json: passos 5→5 | dicas 20 | erros 5 | valores ["7","10","7/10","7/10","0"] | problema fixo: REPROVADO ["0→0"]
[14/69] 04president_rep2.json: passos 5→5 | dicas 20 | erros 6 | valores ["7","10","0","0.7","7/10"] | problema fixo: REPROVADO ["0→0","0.7→0.7"]
[15/69] 04president_rep3.json: passos 5→5 | dicas 20 | erros 5 | valores ["7","10","0.7","0.7","0"] | problema fixo: REPROVADO ["0.7→0.7","0.7→0.7","0→0"]
[16/69] 05music_rep1.json: passos 5→5 | dicas 20 | erros 5 | valores ["5","6","5/6","5/6","ok"] | problema fixo: APROVADO
[17/69] 05music_rep2.json: passos 5→5 | dicas 20 | erros 4 | valores ["5","6","-","5/6","ok"] | problema fixo: APROVADO
[18/69] 05music_rep3.json: passos 5→5 | dicas 20 | erros 4 | valores ["5","6","0 5/6","5/6","0 5/6"] | problema fixo: REPROVADO ["05/6→05","05/6→05"]
[19/69] 06boyschool_rep1.json: passos 5→5 | dicas 20 | erros 5 | valores ["3","5","3/5","3/5","0"] | problema fixo: REPROVADO ["0→0"]
[20/69] 06boyschool_rep2.json: passos 5→5 | dicas 20 | erros 7 | valores ["3","5","3/5","3/5","0"] | problema fixo: REPROVADO ["0→0"]
[21/69] 06boyschool_rep3.json: passos 5→5 | dicas 20 | erros 7 | valores ["3","5","3/5","3/5","0"] | problema fixo: REPROVADO ["0→0"]
[22/69] 07tomato_rep1.json: passos 5→5 | dicas 20 | erros 4 | valores ["8","6","6","6/8","0 6/8"] | problema fixo: REPROVADO ["06/8→06"]
[23/69] 07tomato_rep2.json: passos 5→5 | dicas 20 | erros 8 | valores ["8","6","6/8","6/8","0"] | problema fixo: REPROVADO ["0→0"]
[24/69] 07tomato_rep3.json: passos 5→5 | dicas 20 | erros 3 | valores ["8","6","6/8","6/8","0"] | problema fixo: REPROVADO ["0→0"]
[25/69] 08bowl_rep1.json: passos 5→5 | dicas 20 | erros 3 | valores ["5","10","convert","5/10","0"] | problema fixo: REPROVADO ["0→0"]
[26/69] 08bowl_rep2.json: passos 5→5 | dicas 20 | erros 3 | valores ["5","10","0","0.5","5"] | problema fixo: REPROVADO ["0→0","0.5→0.5"]
[27/69] 08bowl_rep3.json: passos 5→5 | dicas 20 | erros 3 | valores ["5","10","5/10","5/10","0 5/10"] | problema fixo: REPROVADO ["05/10→05"]
[28/69] 09fence_rep1.json: passos 5→5 | dicas 20 | erros 4 | valores ["5","7","0","5/7","ok"] | problema fixo: REPROVADO ["0→0"]
