MATERIALIZAÇÃO — 69 registros de /root/sti-graph-validation/resultados/bloco1-mathtutor-2026-08-16/6.19/fixa-custo-beneficio/runs
  modelo do papel materializacao: openai/gpt-5.6-luna | estimativa ~US$ 1.38 (planner + worker por registro)
[1/69] 00bubble_rep1.json: passos 5→5 | dicas 20 | erros 5 | valores ["5","7","5/7","5/7","0"] | problema fixo: REPROVADO ["0→0"]
[2/69] 00bubble_rep2.json: passos 5→5 | dicas 20 | erros 5 | valores ["5","7","0","5/7","0 5/7"] | problema fixo: REPROVADO ["0→0","05/7→05"]
[3/69] 00bubble_rep3.json: passos 5→5 | dicas 20 | erros 7 | valores ["5","7","5/7","5/7","0"] | problema fixo: REPROVADO ["0→0"]
[4/69] 01tv_rep1.json: passos 5→5 | dicas 20 | erros 2 | valores ["1","4","1/4","0.25","0"] | problema fixo: REPROVADO ["0.25→0.25","0→0"]
[5/69] 01tv_rep2.json: passos 5→5 | dicas 20 | erros 3 | valores ["1","4","convert","1/4","done"] | problema fixo: APROVADO
[6/69] 01tv_rep3.json: passos 5→5 | dicas 20 | erros 2 | valores ["1","4","0","0.25","1/4"] | problema fixo: REPROVADO ["0→0","0.25→0.25"]
[7/69] 02tv_rep1.json: passos 5→5 | dicas 20 | erros 2 | valores ["3","4","0","0.75","3"] | problema fixo: REPROVADO ["0→0","0.75→0.75"]
[8/69] 02tv_rep2.json: passos 5→5 | dicas 20 | erros 3 | valores ["3","4","3/4","3/4","0"] | problema fixo: REPROVADO ["0→0"]
[9/69] 02tv_rep3.json: passos 5→5 | dicas 20 | erros 4 | valores ["3","4","-","0.75","0 3/4"] | problema fixo: REPROVADO ["0.75→0.75","03/4→03"]
[10/69] 03football_rep1.json: passos 5→5 | dicas 20 | erros 5 | valores ["3","6","3","3/6","convert"] | problema fixo: APROVADO
[11/69] 03football_rep2.json: passos 5→5 | dicas 20 | erros 7 | valores ["3","6","3/6","3/6","3/6"] | problema fixo: APROVADO
[12/69] 03football_rep3.json: passos 5→5 | dicas 20 | erros 7 | valores ["3","6","3/6","3/6","0"] | problema fixo: REPROVADO ["0→0"]
[13/69] 04president_rep1.json: passos 5→5 | dicas 20 | erros 6 | valores ["7","10","7/10","7/10","0"] | problema fixo: REPROVADO ["0→0"]
[14/69] 04president_rep2.json: passos 5→5 | dicas 20 | erros 7 | valores ["7","10","0","7/10","0"] | problema fixo: REPROVADO ["0→0","0→0"]
[15/69] 04president_rep3.json: passos 5→5 | dicas 20 | erros 6 | valores ["7","10","0.7","0.7","0"] | problema fixo: REPROVADO ["0.7→0.7","0.7→0.7","0→0"]
[16/69] 05music_rep1.json: passos 5→5 | dicas 20 | erros 3 | valores ["5","6","5/6","5/6","0"] | problema fixo: REPROVADO ["0→0"]
[17/69] 05music_rep2.json: passos 5→5 | dicas 20 | erros 6 | valores ["5","6","0","5/6","0 5/6"] | problema fixo: REPROVADO ["0→0","05/6→05"]
[18/69] 05music_rep3.json: passos 5→5 | dicas 20 | erros 6 | valores ["5","6","5/6","5/6","5/6"] | problema fixo: APROVADO
[19/69] 06boyschool_rep1.json: passos 5→5 | dicas 20 | erros 4 | valores ["3","5","converted","3/5","0"] | problema fixo: REPROVADO ["0→0"]
[20/69] 06boyschool_rep2.json: passos 5→5 | dicas 20 | erros 5 | valores ["3","5","convert","3/5","0"] | problema fixo: REPROVADO ["0→0"]
[21/69] 06boyschool_rep3.json: passos 5→5 | dicas 20 | erros 10 | valores ["3","5","3/5","3/5","0"] | problema fixo: REPROVADO ["0→0"]
[22/69] 07tomato_rep1.json: passos 5→5 | dicas 20 | erros 4 | valores ["8","6","6/8","6/8","0"] | problema fixo: REPROVADO ["0→0"]
[23/69] 07tomato_rep2.json: passos 5→5 | dicas 20 | erros 5 | valores ["8","6","6/8","0.75","0"] | problema fixo: REPROVADO ["0.75→0.75","0→0"]
[24/69] 07tomato_rep3.json: passos 5→5 | dicas 20 | erros 3 | valores ["8","6","0","6/8","0"] | problema fixo: REPROVADO ["0→0","0→0"]
[25/69] 08bowl_rep1.json: passos 5→5 | dicas 20 | erros 2 | valores ["5","10","5/10","0.5","0"] | problema fixo: REPROVADO ["0.5→0.5","0→0"]
[26/69] 08bowl_rep2.json: passos 5→5 | dicas 20 | erros 3 | valores ["5","10","5/10","0.5","0"] | problema fixo: REPROVADO ["0.5→0.5","0→0"]
[27/69] 08bowl_rep3.json: passos 5→5 | dicas 20 | erros 3 | valores ["5","10","5/10","0.5","0"] | problema fixo: REPROVADO ["0.5→0.5","0→0"]
[28/69] 09fence_rep1.json: passos 5→5 | dicas 20 | erros 3 | valores ["5","7","0","5/7","0 5/7"] | problema fixo: REPROVADO ["0→0","05/7→05"]
[29/69] 09fence_rep2.json: passos 5→5 | dicas 20 | erros 7 | valores ["5","7","5/7","5/7","0"] | problema fixo: REPROVADO ["0→0"]
[30/69] 09fence_rep3.json: passos 5→5 | dicas 20 | erros 5 | valores ["5","7","5/7","5/7","0"] | problema fixo: REPROVADO ["0→0"]
[31/69] 10highlighters_rep1.json: passos 5→5 | dicas 20 | erros 3 | valores ["10","9","convert","0.9","0"] | problema fixo: REPROVADO ["0.9→0.9","0→0"]
[32/69] 10highlighters_rep2.json: passos 5→5 | dicas 20 | erros 5 | valores ["10","9","0","9/10","9/10"] | problema fixo: REPROVADO ["0→0"]
[33/69] 10highlighters_rep3.json: passos 5→5 | dicas 20 | erros 5 | valores ["10","9","9/10","0.9","0"] | problema fixo: REPROVADO ["0.9→0.9","0→0"]
[34/69] 11park_rep1.json: passos 5→5 | dicas 20 | erros 3 | valores ["2","4","0","0.5","2"] | problema fixo: REPROVADO ["0→0","0.5→0.5"]
[35/69] 11park_rep2.json: passos 5→5 | dicas 20 | erros 5 | valores ["2","4","2/4","2/4","0"] | problema fixo: REPROVADO ["0→0"]
