MATERIALIZAÇÃO — 69 registros de /root/sti-graph-validation/resultados/bloco1-mathtutor-2026-08-16/6.19/fixa-estudantes-qwen/runs
  modelo do papel materializacao: openai/gpt-5.6-luna | estimativa ~US$ 1.38 (planner + worker por registro)
[1/69] 00bubble_rep1.json: passos 8→8 | dicas 32 | erros 13 | valores ["5/7","5","7","5","7","5/7","5/7","0"] | problema fixo: REPROVADO ["0→0"]
[2/69] 00bubble_rep2.json: passos 9→9 | dicas 36 | erros 13 | valores ["5/7","5","7","5","7","less_than_1","5/7","5/7","0"] | problema fixo: REPROVADO ["less_than_1→1","0→0"]
[3/69] 00bubble_rep3.json: passos 9→9 | dicas 36 | erros 20 | valores ["5/7","5","7","5","7","5/7","5/7","5/7","0 5/7"] | problema fixo: REPROVADO ["05/7→05"]
[4/69] 01tv_rep1.json: passos 8→8 | dicas 32 | erros 13 | valores ["1/4","1","4","1","4","1/4","1/4","0"] | problema fixo: REPROVADO ["0→0"]
[5/69] 01tv_rep2.json: passos 8→8 | dicas 32 | erros 9 | valores ["1/4","1","4","1","4","1/4","1/4","0 1/4"] | problema fixo: REPROVADO ["01/4→01"]
[6/69] 01tv_rep3.json: passos 8→8 | dicas 32 | erros 19 | valores ["1/4","1","4","1","4","1/4","1/4","0 1/4"] | problema fixo: REPROVADO ["01/4→01"]
[7/69] 02tv_rep1.json: passos 9→9 | dicas 36 | erros 22 | valores ["3/4","3","3","4","4","3/4","3/4","3/4","0 3/4"] | problema fixo: REPROVADO ["03/4→03"]
[8/69] 02tv_rep2.json: passos 8→8 | dicas 32 | erros 17 | valores ["3/4","3","4","3","4","0.75","0","0 3/4"] | problema fixo: REPROVADO ["0.75→0.75","0→0","03/4→03"]
[9/69] 02tv_rep3.json: passos 8→8 | dicas 32 | erros 11 | valores ["3/4","3","3","4","4","3/4","0.75","0"] | problema fixo: REPROVADO ["0.75→0.75","0→0"]
[10/69] 03football_rep1.json: passos 8→8 | dicas 32 | erros 15 | valores ["3/6","3","6","3","6","3/6","3/6","ok"] | problema fixo: APROVADO
[11/69] 03football_rep2.json: passos 8→8 | dicas 32 | erros 16 | valores ["3/6","3","6","3","6","3/6","3/6","0"] | problema fixo: REPROVADO ["0→0"]
[12/69] 03football_rep3.json: passos 9→9 | dicas 36 | erros 12 | valores ["3","3","6","3","6","under_1","1/2","3/6","ok"] | problema fixo: REPROVADO ["under_1→1","1/2→1","1/2→2"]
[13/69] 04president_rep1.json: passos 7→7 | dicas 28 | erros 17 | valores ["7","7","10","0.7","0.7","7","converted"] | problema fixo: REPROVADO ["0.7→0.7","0.7→0.7"]
[14/69] 04president_rep2.json: passos 8→8 | dicas 32 | erros 10 | valores ["7/10","7","10","7","10","0.7","0.7","0"] | problema fixo: REPROVADO ["0.7→0.7","0.7→0.7","0→0"]
[15/69] 04president_rep3.json: passos 9→9 | dicas 36 | erros 14 | valores ["7/10","7","10","7","10","7/10","7/10","7/10","0"] | problema fixo: REPROVADO ["0→0"]
[16/69] 05music_rep1.json: passos 8→8 | dicas 32 | erros 13 | valores ["5/6","5","6","5/6","5","6","5/6","5/6"] | problema fixo: APROVADO
[17/69] 05music_rep2.json: passos 8→8 | dicas 32 | erros 14 | valores ["5/6","5","6","5","6","5/6","5/6","5/6"] | problema fixo: APROVADO
[18/69] 05music_rep3.json: passos 8→8 | dicas 32 | erros 25 | valores ["5/6","5","6","5/6","5/6","5","5/6","5/6"] | problema fixo: APROVADO
[19/69] 06boyschool_rep1.json: passos 8→8 | dicas 32 | erros 19 | valores ["3","3","5","3","5","3/5","3/5","0"] | problema fixo: REPROVADO ["0→0"]
