MATERIALIZAÇÃO — 57 registros de /root/sti-graph-validation/resultados/bloco1-mathtutor-2026-08-16/8.12/fixa-custo-beneficio/runs
  modelo do papel materializacao: openai/gpt-5.6-luna | estimativa ~US$ 1.14 (planner + worker por registro)
[1/57] CD sales_rep1.json: passos 6→6 | dicas 24 | erros 10 | valores ["5000,5000,25,5000,4,5000","÷","0.5","÷","0.08","50"] | problema fixo: REPROVADO ["5000,5000,25,5000,4,5000→5000.5000","5000,5000,25,5000,4,5000→25.5000","5000,5000,25,5000,4,5000→4.5000"]
[2/57] CD sales_rep2.json: passos 6→6 | dicas 24 | erros 16 | valores ["25","÷, fator 50","0.5","÷, fator 50","0.08","50"] | problema fixo: REPROVADO ["0.5→0.5","0.08→0.08"]
[3/57] CD sales_rep3.json: passos 4→4 | dicas 16 | erros 5 | valores ["5000","÷","50","0.5"] | problema fixo: REPROVADO ["0.5→0.5"]
[4/57] animal shelter_rep1.json: passos 4→4 | dicas 16 | erros 6 | valores ["ok","×","ok","ok"] | problema fixo: REPROVADO []
[5/57] animal shelter_rep2.json: passos 4→4 | dicas 16 | erros 5 | valores ["50","×","2","152%"] | problema fixo: REPROVADO ["152%→152"]
[6/57] animal shelter_rep3.json: passos 5→5 | dicas 20 | erros 12 | valores ["ok","×","2","ok","100%, 152%, 88%"] | problema fixo: REPROVADO ["100%,152%,88%→100","100%,152%,88%→152","100%,152%,88%→88"]
[7/57] bands collection_rep1.json: passos 6→6 | dicas 24 | erros 11 | valores ["175/175,84/175,126/175","÷,÷,1.75,1.75","48,48","÷,÷,1.75,1.75","72,72","100,100,÷,÷,1.75,1.75,1.75"] | problema fixo: REPROVADO ["175/175,84/175,126/175→175.84","175/175,84/175,126/175→175.126","48,48→48.48"]
[8/57] bands collection_rep2.json: passos 5→5 | dicas 20 | erros 6 | valores ["84","÷","48","÷","1.75"] | problema fixo: REPROVADO ["48→48"]
[9/57] bands collection_rep3.json: passos 6→6 | dicas 24 | erros 9 | valores ["175","÷","48","1.75","72","100"] | problema fixo: REPROVADO ["48→48","72→72","100→100"]
[10/57] bracelets_rep1.json: passos 4→4 | dicas 16 | erros 8 | valores ["40","× 2.5","105","105"] | problema fixo: REPROVADO ["105→105","105→105"]
[11/57] bracelets_rep2.json: passos 4→4 | dicas 16 | erros 6 | valores ["ok","×","ok","105"] | problema fixo: REPROVADO ["105→105"]
[12/57] bracelets_rep3.json: passos 4→4 | dicas 16 | erros 5 | valores ["42","2.5","105","270"] | problema fixo: REPROVADO ["105→105","270→270"]
[13/57] chemical solution_rep1.json: passos 6→6 | dicas 24 | erros 13 | valores ["870","Divide both numerator and denominator by 8.7","140","Divide both numerator and denominator by 8.7","÷","8.7"] | problema fixo: REPROVADO ["140→140"]
