MATERIALIZAÇÃO — 57 registros de /root/sti-graph-validation/resultados/bloco1-mathtutor-2026-08-16/8.12/fixa-estudantes-qwen/runs
  modelo do papel materializacao: openai/gpt-5.6-luna | estimativa ~US$ 1.14 (planner + worker por registro)
[1/57] CD sales_rep1.json: passos 12→12 | dicas 48 | erros 23 | valores ["5000","5000","25","4","÷","÷","50","100","0.5","0.08","100","50"] | problema fixo: REPROVADO ["100→100","0.5→0.5","0.08→0.08"]
[2/57] CD sales_rep2.json: passos 11→11 | dicas 44 | erros 15 | valores ["5000","5000","25","5000","÷","50","0.5","50","0.08","100","50"] | problema fixo: REPROVADO ["0.5→0.5","0.08→0.08","100→100"]
[3/57] CD sales_rep3.json: passos 12→12 | dicas 48 | erros 4 | valores ["5000","5000","25","4","÷","50","0.5","0.08","100","÷","50","50"] | problema fixo: REPROVADO ["0.5→0.5","0.08→0.08","100→100"]
[4/57] animal shelter_rep1.json: passos 17→17 | dicas 68 | erros 23 | valores ["50","50","76","50","×","×","×","×","2","2","2","2","100","152","88","100","ok"] | problema fixo: REPROVADO ["100→100","152→152","88→88"]
[5/57] animal shelter_rep2.json: passos 11→11 | dicas 44 | erros 0 | valores ["50","50","2","100","76","2","152","44","2","88","2"] | problema fixo: REPROVADO ["100→100","152→152","88→88"]
[6/57] animal shelter_rep3.json: passos 14→14 | dicas 56 | erros 21 | valores ["50","50","×","2","100","76","×","2","152","44","×","2","88","done"] | problema fixo: REPROVADO ["100→100","152→152","88→88"]
[7/57] bands collection_rep1.json: passos 17→17 | dicas 68 | erros 1 | valores ["175","175","84","126","÷","÷","÷","÷","1.75","1.75","1.75","1.75","100","48","72","48","1.75"] | problema fixo: REPROVADO ["100→100","48→48","72→72"]
[8/57] bands collection_rep2.json: passos 12→12 | dicas 48 | erros 11 | valores ["175","175","84","126","÷","÷","1.75","1.75","100","48","72","ok"] | problema fixo: REPROVADO ["100→100","48→48","72→72"]
[9/57] bands collection_rep3.json: passos 11→11 | dicas 44 | erros 0 | valores ["175","175","84","126","÷","100","1.75","48","1.75","72","1.75"] | problema fixo: REPROVADO ["100→100","48→48","72→72"]
[10/57] bracelets_rep1.json: passos 14→14 | dicas 56 | erros 22 | valores ["40","40","×","2.5","100","42","×","2.5","105","108","×","2.5","270","done"] | problema fixo: REPROVADO ["100→100","105→105","270→270"]
[11/57] bracelets_rep2.json: passos 14→14 | dicas 56 | erros 26 | valores ["40","40","×","2.5","100","42","×","2.5","105","108","×","2.5","270","ok"] | problema fixo: REPROVADO ["100→100","105→105","270→270"]
[12/57] bracelets_rep3.json: passos 11→11 | dicas 44 | erros 3 | valores ["40","40","×","2.5","42","×","105","108","×","270","ok"] | problema fixo: REPROVADO ["105→105","270→270"]
[13/57] chemical solution_rep1.json: passos 11→11 | dicas 44 | erros 20 | valores ["870","870","÷","100","1218","÷","140","348","÷","40","8.7"] | problema fixo: REPROVADO ["100→100","140→140","40→40"]
[14/57] chemical solution_rep2.json: passos 14→14 | dicas 56 | erros 16 | valores ["870","870","1","100","870","÷","8.7","8.7","140","348","÷","8.7","40","ok"] | problema fixo: REPROVADO ["100→100","140→140","40→40"]
[15/57] chemical solution_rep3.json: passos 10→10 | dicas 40 | erros 19 | valores ["870","870","1218","348","÷","140","÷","40","8.7","ok"] | problema fixo: REPROVADO ["140→140","40→40"]
