JUIZ DE ESTADOS — 210 exercício×braço, 577 estados extras, 2979 itens
  juiz: z-ai/glm-4.5 | custo estimado ~US$ 3.01
  [1/210] 6.17/custo-beneficio/02watermelon: 1 extras, 0 válidos | precisão 0.75 → 0.75
  [2/210] 6.17/custo-beneficio/01watermelon: 1 extras, 0 válidos | precisão 0.75 → 0.75
  [3/210] 6.17/custo-beneficio/03summerBooks: 0 extras, 0 válidos | precisão 1.00 → 1.00
  [4/210] 6.17/custo-beneficio/04soccerSeason: 1 extras, 0 válidos | precisão 0.75 → 0.75
  [5/210] 6.17/custo-beneficio/06lemonade: 1 extras, 0 válidos | precisão 0.75 → 0.75
  [6/210] 6.17/custo-beneficio/05flu: 0 extras, 0 válidos | precisão 1.00 → 1.00
  [7/210] 6.17/custo-beneficio/07pizza: 1 extras, 0 válidos | precisão 0.75 → 0.75
  [8/210] 6.17/custo-beneficio/08dentists: 1 extras, 0 válidos | precisão 0.75 → 0.75
  [9/210] 6.17/custo-beneficio/10children: 0 extras, 0 válidos | precisão 1.00 → 1.00
  [10/210] 6.17/custo-beneficio/11project: 0 extras, 0 válidos | precisão 1.00 → 1.00
  [11/210] 6.17/custo-beneficio/12apples: 1 extras, 0 válidos | precisão 0.75 → 0.75
  [12/210] 6.17/custo-beneficio/13cleanRoom: 1 extras, 0 válidos | precisão 0.75 → 0.75
  [13/210] 6.17/custo-beneficio/14centimeter: 1 extras, 0 válidos | precisão 0.75 → 0.75
  [14/210] 6.17/custo-beneficio/15fishStick: 2 extras, 0 válidos | precisão 0.60 → 0.60
  [15/210] 6.17/custo-beneficio/00bubble: 1 extras, 0 válidos | precisão 0.75 → 0.75
  [16/210] 6.17/custo-beneficio/17pencils: 1 extras, 0 válidos | precisão 0.75 → 0.75
  [17/210] 6.17/custo-beneficio/18gum: 1 extras, 0 válidos | precisão 0.75 → 0.75
  [18/210] 6.17/custo-beneficio/09mathCompetition: 2 extras, 0 válidos | precisão 0.60 → 0.60
  [19/210] 6.17/custo-beneficio/19Painting: 1 extras, 0 válidos | precisão 0.75 → 0.75
  [20/210] 6.17/custo-beneficio/20birthday: 1 extras, 0 válidos | precisão 0.75 → 0.75
  [21/210] 6.17/custo-beneficio/21mnm: 1 extras, 0 válidos | precisão 0.75 → 0.75
  [22/210] 6.17/custo-beneficio/22biscuit: 2 extras, 0 válidos | precisão 0.60 → 0.60
  [23/210] 6.17/custo-beneficio/23textbookPack: 0 extras, 0 válidos | precisão 1.00 → 1.00
  [24/210] 6.17/estudantes-qwen/00bubble: 1 extras, 0 válidos | precisão 0.75 → 0.75
  [25/210] 6.17/custo-beneficio/16bonusQuestion: 2 extras, 0 válidos | precisão 0.60 → 0.60
  [26/210] 6.17/estudantes-qwen/01watermelon: 3 extras, 0 válidos | precisão 0.50 → 0.50
  [27/210] 6.17/estudantes-qwen/03summerBooks: 1 extras, 1 válidos | precisão 0.75 → 1.00
  [28/210] 6.17/estudantes-qwen/04soccerSeason: 1 extras, 0 válidos | precisão 0.75 → 0.75
  [29/210] 6.17/estudantes-qwen/05flu: 1 extras, 0 válidos | precisão 0.75 → 0.75
  [30/210] 6.17/estudantes-qwen/06lemonade: 2 extras, 0 válidos | precisão 0.60 → 0.60
  [31/210] 6.17/estudantes-qwen/02watermelon: 2 extras, 0 válidos | precisão 0.60 → 0.60
  [32/210] 6.17/estudantes-qwen/08dentists: 1 extras, 0 válidos | precisão 0.75 → 0.75
  [33/210] 6.17/estudantes-qwen/07pizza: 1 extras, 0 válidos | precisão 0.75 → 0.75
  [34/210] 6.17/estudantes-qwen/11project: 2 extras, 0 válidos | precisão 0.60 → 0.60
  [35/210] 6.17/estudantes-qwen/12apples: 2 extras, 0 válidos | precisão 0.60 → 0.60
  [36/210] 6.17/estudantes-qwen/10children: 2 extras, 0 válidos | precisão 0.60 → 0.60
  [37/210] 6.17/estudantes-qwen/13cleanRoom: 1 extras, 0 válidos | precisão 0.75 → 0.75
  [38/210] 6.17/estudantes-qwen/14centimeter: 1 extras, 0 válidos | precisão 0.75 → 0.75
  [39/210] 6.17/estudantes-qwen/15fishStick: 1 extras, 0 válidos | precisão 0.75 → 0.75
  [40/210] 6.17/estudantes-qwen/16bonusQuestion: 2 extras, 0 válidos | precisão 0.60 → 0.60
  [41/210] 6.17/estudantes-qwen/09mathCompetition: 4 extras, 2 válidos | precisão 0.43 → 0.71
  [42/210] 6.17/estudantes-qwen/19Painting: 1 extras, 0 válidos | precisão 0.75 → 0.75
  [43/210] 6.17/estudantes-qwen/18gum: 1 extras, 0 válidos | precisão 0.75 → 0.75
  [44/210] 6.17/estudantes-qwen/20birthday: 1 extras, 0 válidos | precisão 0.75 → 0.75
  [45/210] 6.17/estudantes-qwen/21mnm: 3 extras, 1 válidos | precisão 0.50 → 0.67
  [46/210] 6.17/estudantes-qwen/22biscuit: 2 extras, 0 válidos | precisão 0.60 → 0.60
  [47/210] 6.17/estudantes-qwen/23textbookPack: 2 extras, 1 válidos | precisão 0.60 → 0.80
  [48/210] 6.19/custo-beneficio/01tv: 2 extras, 0 válidos | precisão 0.67 → 0.67
  [49/210] 6.19/custo-beneficio/02tv: 2 extras, 1 válidos | precisão 0.67 → 0.83
  [50/210] 6.19/custo-beneficio/03football: 1 extras, 0 válidos | precisão 0.80 → 0.80
  [51/210] 6.19/custo-beneficio/04president: 0 extras, 0 válidos | precisão 1.00 → 1.00
  [52/210] 6.19/custo-beneficio/05music: 1 extras, 1 válidos | precisão 0.80 → 1.00
  [53/210] 6.17/estudantes-qwen/17pencils: 1 extras, 0 válidos | precisão 0.75 → 0.75
