JUIZ DOS EXTRAS (materializado) — 210 exercício×braço, 2104 extras, 3600 itens a julgar
  juiz: deepseek/deepseek-v4-flash | custo estimado ~US$ 3.64
  [1/210] 6.17/custo-beneficio/00bubble: 4 extras, 0 válidos | precisão 0.33 → 0.33
  [2/210] 6.17/custo-beneficio/01watermelon: 4 extras, 1 válidos | precisão 0.20 → 0.40
  [3/210] 6.17/custo-beneficio/04soccerSeason: 4 extras, 0 válidos | precisão 0.43 → 0.43
  [4/210] 6.17/custo-beneficio/02watermelon: 4 extras, 3 válidos | precisão 0.33 → 0.83
  [5/210] 6.17/custo-beneficio/03summerBooks: 5 extras, 3 válidos | precisão 0.38 → 0.75
  [6/210] 6.17/custo-beneficio/05flu: 4 extras, 2 válidos | precisão 0.43 → 0.71
  [7/210] 6.17/custo-beneficio/06lemonade: 4 extras, 1 válidos | precisão 0.33 → 0.50
  [8/210] 6.17/custo-beneficio/07pizza: 6 extras, 2 válidos | precisão 0.25 → 0.50
  [9/210] 6.17/custo-beneficio/09mathCompetition: 8 extras, 3 válidos | precisão 0.20 → 0.50
  [10/210] 6.17/custo-beneficio/08dentists: 5 extras, 1 válidos | precisão 0.29 → 0.43
  [11/210] 6.17/custo-beneficio/12apples: 2 extras, 1 válidos | precisão 0.50 → 0.75
  [12/210] 6.17/custo-beneficio/10children: 2 extras, 1 válidos | precisão 0.60 → 0.80
  [13/210] 6.17/custo-beneficio/11project: 6 extras, 3 válidos | precisão 0.14 → 0.57
  [14/210] 6.17/custo-beneficio/13cleanRoom: 4 extras, 2 válidos | precisão 0.33 → 0.67
  [15/210] 6.17/custo-beneficio/14centimeter: 6 extras, 5 válidos | precisão 0.14 → 0.86
  [16/210] 6.17/custo-beneficio/15fishStick: 4 extras, 0 válidos | precisão 0.43 → 0.43
  [17/210] 6.17/custo-beneficio/16bonusQuestion: 3 extras, 1 válidos | precisão 0.40 → 0.60
  [18/210] 6.17/custo-beneficio/17pencils: 2 extras, 2 válidos | precisão 0.33 → 1.00
