MATERIALIZAÇÃO — 72 registros de /root/sti-graph-validation/resultados/rodada4-interface-fixa-2026-08-15/fixa-custo-beneficio/runs
  modelo do papel materializacao: openai/gpt-5.6-luna | estimativa ~US$ 1.44 (planner + worker por registro)
[1/72] 00bubble_rep1.json: passos 6→6 | dicas 24 | erros 7 | valores ["5","1","5","1/5","1/5","ok"] | problema fixo: APROVADO
[2/72] 00bubble_rep2.json: passos 5→5 | dicas 20 | erros 3 | valores ["5","1","5","1/5","1/5"] | problema fixo: APROVADO
[3/72] 00bubble_rep3.json: passos 6→6 | dicas 24 | erros 3 | valores ["5","1","5","ok","1/5","ok"] | problema fixo: APROVADO
[4/72] 01watermelon_rep1.json: passos 6→6 | dicas 24 | erros 6 | valores ["4","4","1","1/4","1/4","1/4"] | problema fixo: APROVADO
[5/72] 01watermelon_rep2.json: passos 6→6 | dicas 24 | erros 4 | valores ["4","4","1","1/4","1/4","1/4"] | problema fixo: APROVADO
[6/72] 01watermelon_rep3.json: passos 6→6 | dicas 24 | erros 3 | valores ["4","4","1","1/4","1/4","ok"] | problema fixo: APROVADO
[7/72] 02watermelon_rep1.json: passos 6→6 | dicas 24 | erros 4 | valores ["4","4","3","0.75","3/4","ok"] | problema fixo: REPROVADO ["0.75→0.75"]
[8/72] 02watermelon_rep2.json: passos 6→6 | dicas 24 | erros 5 | valores ["4","4","3","3/4","3/4","3/4"] | problema fixo: APROVADO
[9/72] 02watermelon_rep3.json: passos 6→6 | dicas 24 | erros 3 | valores ["4","4","3","3/4","ok","ok"] | problema fixo: APROVADO
[10/72] 03summerBooks_rep1.json: passos 6→6 | dicas 24 | erros 6 | valores ["5","5","3","3/5","3/5","3/5"] | problema fixo: APROVADO
[11/72] 03summerBooks_rep2.json: passos 6→6 | dicas 24 | erros 6 | valores ["5","5","3","3/5","3/5","3/5"] | problema fixo: APROVADO
[12/72] 03summerBooks_rep3.json: passos 6→6 | dicas 24 | erros 4 | valores ["5","5","3","3/5","3/5","3/5"] | problema fixo: APROVADO
[13/72] 04soccerSeason_rep1.json: passos 5→5 | dicas 20 | erros 3 | valores ["4","4","3","3/4","3/4"] | problema fixo: APROVADO
[14/72] 04soccerSeason_rep2.json: passos 5→5 | dicas 20 | erros 4 | valores ["4","4","3","3/4","ok"] | problema fixo: APROVADO
[15/72] 04soccerSeason_rep3.json: passos 6→6 | dicas 24 | erros 4 | valores ["4","4","3","3/4","3/4","ok"] | problema fixo: APROVADO
[16/72] 05flu_rep1.json: passos 5→5 | dicas 20 | erros 4 | valores ["5","3","5","3/5","3/5"] | problema fixo: APROVADO
[17/72] 05flu_rep2.json: passos 5→5 | dicas 20 | erros 3 | valores ["5","3","5","3/5","3/5"] | problema fixo: APROVADO
[18/72] 05flu_rep3.json: passos 5→5 | dicas 20 | erros 4 | valores ["5","3","5","3/5","3/5"] | problema fixo: APROVADO
[19/72] 06lemonade_rep1.json: passos 5→6 | dicas 24 | erros 3 | valores ["7","7","2","2/7","ok","2"] | problema fixo: APROVADO
[20/72] 06lemonade_rep2.json: passos 6→7 | dicas 28 | erros 4 | valores ["7","7","2","2/7","2/7","ok","2"] | problema fixo: APROVADO
[21/72] 06lemonade_rep3.json: passos 6→7 | dicas 28 | erros 4 | valores ["7","7","2","2/7","2/7","2/7","2"] | problema fixo: APROVADO
[22/72] 07pizza_rep1.json: passos 6→6 | dicas 24 | erros 4 | valores ["8","5","8","5/8","5/8","ok"] | problema fixo: APROVADO
[23/72] 07pizza_rep2.json: passos 6→6 | dicas 24 | erros 7 | valores ["8","5","5/8","8","5/8","ok"] | problema fixo: APROVADO
[24/72] 07pizza_rep3.json: passos 6→6 | dicas 24 | erros 6 | valores ["8","5","8","5/8","5/8","ok"] | problema fixo: APROVADO
[25/72] 08dentists_rep1.json: passos 6→6 | dicas 24 | erros 6 | valores ["4","5","4/5","5","0.8","4/5"] | problema fixo: REPROVADO ["0.8→0.8"]
[26/72] 08dentists_rep2.json: passos 6→6 | dicas 24 | erros 3 | valores ["4","5","5","4/5","4/5","ok"] | problema fixo: APROVADO
[27/72] 08dentists_rep3.json: passos 6→6 | dicas 24 | erros 11 | valores ["4","5","4/5","5","4/5","4/5"] | problema fixo: APROVADO
[28/72] 09mathCompetition_rep1.json: passos 6→6 | dicas 24 | erros 10 | valores ["9","14","9/14","14","9/14","ok"] | problema fixo: APROVADO
[29/72] 09mathCompetition_rep2.json: passos 6→6 | dicas 24 | erros 3 | valores ["9","14","9/14","14","9/14","ok"] | problema fixo: APROVADO
[30/72] 09mathCompetition_rep3.json: passos 5→5 | dicas 20 | erros 4 | valores ["9","14","14","9/14","Done"] | problema fixo: APROVADO
[31/72] 10children_rep1.json: passos 5→5 | dicas 20 | erros 4 | valores ["3","2","3","2/3","2/3"] | problema fixo: APROVADO
[32/72] 10children_rep2.json: passos 5→5 | dicas 20 | erros 4 | valores ["3","2","3","2/3","2/3"] | problema fixo: APROVADO
[33/72] 10children_rep3.json: passos 5→5 | dicas 20 | erros 7 | valores ["2/3","3","2/3","2/3","2/3"] | problema fixo: APROVADO
[34/72] 11project_rep1.json: passos 5→5 | dicas 20 | erros 2 | valores ["7","5","7","5/7","5/7"] | problema fixo: APROVADO
[35/72] 11project_rep2.json: passos 5→5 | dicas 20 | erros 7 | valores ["7","5","7","5/7","5/7"] | problema fixo: APROVADO
[36/72] 11project_rep3.json: passos 5→5 | dicas 20 | erros 4 | valores ["7","5","7","5/7","5/7"] | problema fixo: APROVADO
[37/72] 12apples_rep1.json: passos 6→6 | dicas 24 | erros 3 | valores ["12","12","15","15/12","15/12","ok"] | problema fixo: APROVADO
[38/72] 12apples_rep2.json: passos 6→6 | dicas 24 | erros 2 | valores ["12","12","15","1.25","15/12","ok"] | problema fixo: REPROVADO ["1.25→1.25"]
[39/72] 12apples_rep3.json: passos 6→6 | dicas 24 | erros 4 | valores ["12","12","15","15/12","15/12","ok"] | problema fixo: APROVADO
[40/72] 13cleanRoom_rep1.json: passos 6→6 | dicas 24 | erros 5 | valores ["4","4","5","5/4","5/4","ok"] | problema fixo: APROVADO
[41/72] 13cleanRoom_rep2.json: passos 6→6 | dicas 24 | erros 5 | valores ["4","4","5","5/4","5/4","ok"] | problema fixo: APROVADO
[42/72] 13cleanRoom_rep3.json: passos 6→6 | dicas 24 | erros 7 | valores ["4","4","5","5/4","5/4","ok"] | problema fixo: APROVADO
[43/72] 14centimeter_rep1.json: passos 6→6 | dicas 24 | erros 5 | valores ["10","10","13","1.3","1.3","ok"] | problema fixo: REPROVADO ["1.3→1.3","1.3→1.3"]
[44/72] 14centimeter_rep2.json: passos 6→6 | dicas 24 | erros 3 | valores ["10","10","13","1.3","13/10","13/10"] | problema fixo: REPROVADO ["1.3→1.3"]
[45/72] 14centimeter_rep3.json: passos 5→5 | dicas 20 | erros 4 | valores ["10","10","13","1.3","13/10"] | problema fixo: REPROVADO ["1.3→1.3"]
[46/72] 15fishStick_rep1.json: passos 6→6 | dicas 24 | erros 3 | valores ["7","7","10","10/7","1 3/7","10/7"] | problema fixo: REPROVADO ["13/7→13"]
[47/72] 15fishStick_rep2.json: passos 6→6 | dicas 24 | erros 4 | valores ["7","7","10","10/7","10/7","ok"] | problema fixo: APROVADO
[48/72] 15fishStick_rep3.json: passos 6→6 | dicas 24 | erros 2 | valores ["7","7","10","10/7","10/7","10/7"] | problema fixo: APROVADO
[49/72] 16bonusQuestion_rep1.json: passos 6→6 | dicas 24 | erros 3 | valores ["6","6","7","7/6","7/6","ok"] | problema fixo: APROVADO
[50/72] 16bonusQuestion_rep2.json: passos 6→6 | dicas 24 | erros 5 | valores ["6","6","7","7/6","7/6","concluído"] | problema fixo: APROVADO
[51/72] 16bonusQuestion_rep3.json: passos 5→5 | dicas 20 | erros 3 | valores ["6","6","7","7/6","7/6"] | problema fixo: APROVADO
[52/72] 17pencils_rep1.json: passos 6→6 | dicas 24 | erros 3 | valores ["12","12","17","17/12","17/12","concluído"] | problema fixo: APROVADO
[53/72] 17pencils_rep2.json: passos 5→5 | dicas 20 | erros 3 | valores ["12","12","17","17/12","17/12"] | problema fixo: APROVADO
[54/72] 17pencils_rep3.json: passos 5→5 | dicas 20 | erros 3 | valores ["12","12","17","17/12","17/12"] | problema fixo: APROVADO
[55/72] 18gum_rep1.json: passos 5→5 | dicas 20 | erros 5 | valores ["6","11","6","11/6","11/6"] | problema fixo: APROVADO
[56/72] 18gum_rep2.json: passos 5→5 | dicas 20 | erros 6 | valores ["6","11","6","11/6","11/6"] | problema fixo: APROVADO
[57/72] 18gum_rep3.json: passos 6→6 | dicas 24 | erros 5 | valores ["6","11","11/6","6","11/6","ok"] | problema fixo: APROVADO
[58/72] 19Painting_rep1.json: passos 6→6 | dicas 24 | erros 9 | valores ["4","4","5/4","5","5/4","ok"] | problema fixo: APROVADO
