MATERIALIZAÇÃO — 72 registros de /root/sti-graph-validation/resultados/rodada4-interface-fixa-2026-08-15/fixa-estudantes-qwen/runs
  modelo do papel materializacao: openai/gpt-5.6-luna | estimativa ~US$ 1.44 (planner + worker por registro)
[1/72] 00bubble_rep1.json: passos 7→7 | dicas 28 | erros 13 | valores ["1/5","5","5","1","1/5","1/5","ok"] | problema fixo: APROVADO
[2/72] 00bubble_rep2.json: passos 7→7 | dicas 28 | erros 14 | valores ["1/5","5","1","5","1/5","1/5","ok"] | problema fixo: APROVADO
[3/72] 00bubble_rep3.json: passos 7→7 | dicas 28 | erros 8 | valores ["1/5","1","5","5","0.2","1/5","ok"] | problema fixo: REPROVADO ["0.2→0.2"]
[4/72] 01watermelon_rep1.json: passos 6→6 | dicas 24 | erros 8 | valores ["1/4","4","4","1","1/4","ok"] | problema fixo: APROVADO
[5/72] 01watermelon_rep2.json: passos 6→6 | dicas 24 | erros 10 | valores ["writeFractionStep","4","4","1","1/4","Done"] | problema fixo: APROVADO
[6/72] 01watermelon_rep3.json: passos 6→6 | dicas 24 | erros 9 | valores ["ok","4","4","1","1/4","ok"] | problema fixo: APROVADO
[7/72] 02watermelon_rep1.json: passos 7→7 | dicas 28 | erros 13 | valores ["3","4","4","ok","3/4","3/4","concluído"] | problema fixo: APROVADO
[8/72] 02watermelon_rep2.json: passos 5→5 | dicas 20 | erros 9 | valores ["3","4","4","3/4","ok"] | problema fixo: APROVADO
[9/72] 02watermelon_rep3.json: passos 5→5 | dicas 20 | erros 5 | valores ["3","4","4","3/4","ok"] | problema fixo: APROVADO
[10/72] 03summerBooks_rep1.json: passos 6→6 | dicas 24 | erros 11 | valores ["3","5","5","3/5","3/5","3/5"] | problema fixo: APROVADO
[11/72] 03summerBooks_rep2.json: passos 6→6 | dicas 24 | erros 9 | valores ["3","5","5","3/5","1/2","3/5"] | problema fixo: REPROVADO ["1/2→1","1/2→2"]
[12/72] 03summerBooks_rep3.json: passos 6→6 | dicas 24 | erros 18 | valores ["3","5","5","3/5","3/5","3/5"] | problema fixo: APROVADO
